"acousticness","danceability","duration_ms","energy","genre","instrumentalness","key","liveness","loudness","mode","song_name","speechiness","tempo","time_signature","valence"
0.0394,0.518,310720,0.546,"Dark Trap",0.895,7,0.0852,-8.439,1,"fatigue",0.0373,112.021,4,0.039
0.0252,0.534,307463,0.359,"Dark Trap",0.813,0,0.196,-12.527,0,"Blvck Rvin",0.0308,199.948,4,0.0384
0.000637,0.56,259702,0.813,"Dark Trap",0.106,9,0.103,-4.199,1,"Control",0.0524,134.026,4,0.062
0.000324,0.466,200000,0.806,"Dark Trap",0,9,0.337,-4.08,0,"Morning",0.0559,209.982,4,0.24
0.000531,0.582,144010,0.448,"Dark Trap",0.701,9,0.115,-9.01,1,"Pairplay",0.0525,120.04,4,0.0375
0.289,0.484,184038,0.454,"Dark Trap",0.00666,6,0.071,-9.556,0,"Creep",0.0514,158.204,4,0.191
0.00621,0.596,443106,0.886,"Dark Trap",0.763,4,0.104,-7.919,0,"Rise",0.0431,130.001,4,0.0373
0.000415,0.75,192000,0.866,"Dark Trap",0.874,7,0.305,-4.203,0,"Don't Turn Around",0.0606,169.99,4,0.497
0.0612,0.668,128888,0.479,"Dark Trap",0.408,10,0.12,-7.321,0,"Centipede",0.0436,162.12,4,0.102
0.0174,0.266,166733,0.508,"Dark Trap",0,7,0.485,-8.324,1,"Wingriddenangel",0.0402,158.374,3,0.151
0.126,0.541,175047,0.522,"Dark Trap",0.0822,11,0.0966,-16.461,1,"Over",0.0329,155.04,4,0.353
0.403,0.562,270962,0.911,"Dark Trap",0,1,0.103,-2.119,1,"2020 PHARMACY FREESTYLE",0.399,148.444,4,0.6
0.0355,0.813,107737,0.697,"Dark Trap",0.000551,6,0.11,-6.735,1,"Hi-Fi (prod. by OmenXIII)",0.0961,158.978,4,0.547
0.00511,0.818,136777,0.709,"Dark Trap",0,11,0.259,-4.425,1,"Sweat",0.269,120.058,4,0.452
0.295,0.704,232574,0.593,"Dark Trap",0,9,0.151,-8.977,1,"Rabbit Hole",0.0487,117.246,4,0.0395
0.604,0.577,137352,0.181,"Dark Trap",0.471,6,0.111,-12.53,0,"Space Coupe",0.0424,164.944,4,0.209
0.00212,0.267,180984,0.845,"Dark Trap",0.55,3,0.101,-7.633,0,"Never Say Goodbye",0.193,121.106,4,0.206
0.000562,0.358,203077,0.662,"Dark Trap",0,10,0.223,-3.374,1,"Secrets",0.0402,129.962,4,0.0931
0.074,0.817,104960,0.697,"Dark Trap",0.00716,1,0.101,-5.897,1,"A GHETTO CHRISTMAS CAROL",0.211,147.965,4,0.334
0.023,0.628,156048,0.535,"Dark Trap",0.0927,1,0.0817,-9.793,1,"Grippin",0.127,159.939,4,0.68
0.00225,0.524,243409,0.637,"Dark Trap",0.865,9,0.155,-9.416,0,"Night Shift",0.0474,143.984,4,0.0395
0.0687,0.474,189323,0.631,"Dark Trap",0,5,0.132,-5.884,0,"Bandit (with YoungBoy Never Broke Again)",0.343,180.051,4,0.425
0.116,0.534,129347,0.698,"Dark Trap",0.0406,7,0.126,-8.425,1,"Tar21",0.311,179.904,4,0.353
0.773,0.701,127080,0.464,"Dark Trap",0.755,5,0.119,-8.952,1,"Pikachu",0.101,140.955,4,0.359
0.151,0.669,130909,0.676,"Dark Trap",0,1,0.1,-4.474,1,"Burner",0.0953,176.035,4,0.0748
0.0228,0.931,184321,0.836,"Dark Trap",8.64e-05,5,0.0533,-3.698,1,"Затмение",0.214,191.972,4,0.538
0.00301,0.356,211386,0.754,"Dark Trap",0.881,1,0.111,-6.024,0,"Simulation",0.129,205.82,4,0.17
0.478,0.547,252800,0.55,"Dark Trap",0.848,4,0.102,-10.85,0,"Nowhere, Everywhere",0.0383,175,4,0.0992
0.265,0.466,204803,0.688,"Dark Trap",0.395,10,0.116,-9.102,0,"Akita",0.0375,128.07,3,0.0798
0.244,0.717,212245,0.925,"Dark Trap",0,0,0.287,-4.246,1,"Chain$Aw",0.311,137.989,4,0.412
0.08,0.557,180136,0.653,"Dark Trap",0.806,8,0.167,-7.986,0,"Ameonna",0.0318,200.006,4,0.116
0.0238,0.637,117124,0.553,"Dark Trap",0.166,1,0.207,-8.754,1,"WANT ME GONE",0.145,113.25,5,0.676
0.0606,0.6,154533,0.981,"Dark Trap",0.000185,0,0.239,-2.84,1,"Nick Cave In",0.0334,140.033,4,0.793
0.0362,0.642,126328,0.523,"Dark Trap",0.888,1,0.123,-10.698,1,"Break",0.0744,160.012,4,0.435
0.209,0.683,243667,0.817,"Dark Trap",0,6,0.0841,-4.199,0,"Salina",0.246,153.82,4,0.316
0.292,0.801,236280,0.819,"Dark Trap",0,11,0.515,-5.189,1,"Fashion Killa",0.158,139.969,4,0.811
0.111,0.8,210387,0.591,"Dark Trap",0,6,0.429,-8.808,1,"Take A Step Back",0.271,117.003,4,0.747
0.262,0.832,151058,0.47,"Dark Trap",0,0,0.15,-11.728,1,"I Like the Pain",0.227,140.037,4,0.444
0.0652,0.831,181716,0.532,"Dark Trap",0,0,0.464,-5.319,0,"My Dawg",0.301,140.105,4,0.364
0.248,0.59,192000,0.419,"Dark Trap",0.866,4,0.126,-13.461,0,"Prism",0.0846,115.159,4,0.0578
0.0749,0.474,224016,0.677,"Dark Trap",0.844,9,0.103,-10.196,0,"Reflections",0.0344,120.038,4,0.175
0.432,0.924,183159,0.543,"Dark Trap",7.32e-05,7,0.11,-6.612,1,"Norf Norf",0.0854,199.994,4,0.104
0.00284,0.421,211208,0.791,"Dark Trap",0.00159,5,0.28,-5.172,0,"Kyoto Nights",0.325,150.225,4,0.408
0.0475,0.219,266139,0.807,"Dark Trap",0.51,10,0.114,-6.783,0,"Lost",0.271,190.517,4,0.062
0.763,0.85,158532,0.516,"Dark Trap",0,0,0.0896,-7.664,0,"Who Needs Love",0.0714,217.926,4,0.874
0.0475,0.53,181714,0.968,"Dark Trap",0.000125,2,0.214,-4.073,0,"Evol",0.137,139.957,4,0.314
0.559,0.733,120016,0.513,"Dark Trap",1.48e-05,6,0.174,-5.068,0,"Nightmare",0.0389,159.944,4,0.564
0.495,0.829,207151,0.704,"Dark Trap",0,6,0.103,-7.065,0,"Mia Khalifa",0.277,130.149,4,0.653
0.26,0.68,219867,0.542,"Dark Trap",0,9,0.112,-8.848,0,"Perfect",0.0974,148.942,4,0.274
0.0222,0.707,186627,0.617,"Dark Trap",0,6,0.345,-8.446,0,"PERCS | PERCZ",0.21,160.003,4,0.534
0.107,0.719,124840,0.878,"Dark Trap",2.28e-05,0,0.394,-4.939,1,"Your Bullet's Won't Do Shit",0.355,133.031,4,0.544
0.387,0.649,286627,0.379,"Dark Trap",0.141,8,0.352,-12.755,1,"Sad Family",0.0377,129.015,4,0.0782
0.289,0.834,314327,0.418,"Dark Trap",0.267,7,0.153,-11.232,0,"Lost",0.236,130.034,4,0.51
0.0253,0.455,282462,0.401,"Dark Trap",0.0803,7,0.113,-7.596,0,"Uncharted",0.0298,130.061,4,0.0618
0.373,0.489,105250,0.572,"Dark Trap",0.000586,2,0.353,-7.392,1,"bad luck",0.0292,130.363,4,0.151
0.36,0.618,224026,0.725,"Dark Trap",0.805,7,0.0995,-6.546,1,"Crystalline",0.0273,120.011,4,0.161
0.00576,0.593,77619,0.955,"Dark Trap",0.91,11,0.298,-6.585,0,"Gloria",0.167,133.014,4,0.489
0.0748,0.675,131188,0.817,"Dark Trap",0.0048,1,0.108,-6.873,1,"When I Die Will You Miss Me",0.0551,161.02,4,0.505
0.832,0.703,183654,0.856,"Dark Trap",0.000192,3,0.123,-7.904,1,"Thru the Screen",0.0517,115.013,4,0.32
0.0631,0.56,233143,0.553,"Dark Trap",0.846,5,0.115,-8.146,1,"Infiltration",0.0352,140.002,4,0.0377
0.597,0.78,192093,0.483,"Dark Trap",0,11,0.0852,-9.205,0,"225",0.287,149.786,4,0.415
0.0552,0.76,133617,0.623,"Dark Trap",0.0044,11,0.161,-7.803,1,"Aliens Are Ghosts ($UICIDEBOY$ X TRAVIS BARKER)",0.213,139.044,5,0.598
0.791,0.664,200602,0.399,"Dark Trap",0,6,0.116,-11.661,1,"Laying on my porch while we watch the world end.",0.0743,133.904,4,0.424
0.132,0.592,136000,0.753,"Dark Trap",0,8,0.114,-6.731,1,"Room 604",0.0318,149.99,4,0.559
0.684,0.53,135000,0.647,"Dark Trap",0.871,5,0.372,-17.322,1,"Decline",0.0623,128.013,4,0.113
0.112,0.547,145084,0.658,"Dark Trap",0,1,0.166,-5.741,1,"2 Radical Diss",0.175,167.302,5,0.347
0.242,0.503,212308,0.492,"Dark Trap",0.892,3,0.119,-11.204,1,"Everything",0.0396,130.014,4,0.14
0.117,0.555,201174,0.694,"Dark Trap",0.906,2,0.125,-8.565,1,"Empty Skies",0.0796,210.01,4,0.154
0.28,0.738,243050,0.581,"Dark Trap",0,3,0.101,-6.776,0,"For My Bros",0.217,157.967,4,0.635
0.0221,0.49,201600,0.618,"Dark Trap",3.77e-06,1,0.259,-5.655,1,"The Woo (feat. 50 Cent & Roddy Ricch)",0.104,199.4,4,0.286
0.0084,0.856,368013,0.493,"Dark Trap",0.68,7,0.3,-10.323,1,"Gilgamesh (Timboletti Remix)",0.0418,119.985,4,0.259
0.165,0.876,165818,0.852,"Dark Trap",0.0397,9,0.1,-4.695,1,"Florida Thang",0.0518,220.014,4,0.141
0.0987,0.812,180880,0.813,"Dark Trap",0.00015,10,0.0758,-5.583,0,"Io sono qui",0.0984,128.066,4,0.348
0.0132,0.596,328650,0.647,"Dark Trap",0.646,8,0.0681,-9.117,0,"Honestly",0.0354,124.068,4,0.068
0.259,0.878,218024,0.335,"Dark Trap",3.09e-05,1,0.098,-11.304,1,"So Low",0.203,111.073,4,0.106
0.38,0.645,145096,0.71,"Dark Trap",0.00127,7,0.0916,-5.094,1,"Exhausted",0.07,165.959,4,0.126
0.00178,0.627,117394,0.444,"Dark Trap",0.000211,7,0.12,-11.149,1,"Wi-Fi",0.0747,142.109,4,0.249
0.0665,0.574,240000,0.907,"Dark Trap",0.846,3,0.134,-8.484,0,"Something from before",0.0571,137.995,4,0.268
0.00219,0.56,176571,0.692,"Dark Trap",0.897,8,0.097,-7.115,1,"Kate",0.0288,140.002,4,0.0667
0.0108,0.829,130000,0.609,"Dark Trap",0.261,10,0.11,-10.008,1,"Alone",0.059,143.97,4,0.696
0.0123,0.491,311600,0.777,"Dark Trap",0.0013,1,0.129,-6.792,0,"Moonstone",0.161,140.044,4,0.158
0.553,0.467,213491,0.51,"Dark Trap",0.911,3,0.0963,-12.85,1,"Petrol",0.0388,172.026,4,0.372
0.373,0.56,188781,0.576,"Dark Trap",1.07e-05,9,0.503,-4.555,0,"Losing Sight",0.0269,164.02,4,0.177
0.216,0.774,241789,0.979,"Dark Trap",0.0637,7,0.109,-1.431,1,"WITCHCRAFT",0.107,207.968,4,0.348
0.0119,0.566,188717,0.805,"Dark Trap",0.165,7,0.407,-5.451,0,"Nice Dream",0.0437,149.965,4,0.0862
0.0039,0.634,207866,0.785,"Dark Trap",0.812,11,0.384,-4.504,0,"I.D.F.K.",0.0304,139.934,4,0.192
0.0307,0.223,258641,0.66,"Dark Trap",0.958,9,0.0794,-8.275,1,"Jack",0.0404,205.532,4,0.0649
0.825,0.642,411093,0.561,"Dark Trap",0.163,1,0.134,-8.274,0,"Naturaleza (Mose Edit)",0.0427,137.93,4,0.517
0.000916,0.583,270063,0.884,"Dark Trap",0.907,9,0.256,-5.867,1,"Tetsuo",0.035,130.034,4,0.0386
